,Upvotes
266048,21.0
270013,62.0
11882,42.0
75733,16.0
109044,9.0
80463,167.0
195061,5.0
275992,21.0
223857,147.0
43941,13.0
40925,6.0
151784,48.0
66050,83.0
289423,1383.0
101492,6.0
288161,34.0
11927,0.0
161696,18.0
261204,81.0
93173,17.0
200460,203.0
275522,21.0
144867,30.0
142042,589.0
72656,43.0
31143,228.0
171746,391.0
65593,72.0
232069,8.0
103863,1456.0
329266,182.0
167909,17.0
300573,25.0
287795,5866.0
24086,4.0
69425,795.0
24949,351.0
98836,232.0
247016,22.0
306126,1.0
248008,32.0
237195,17.0
221641,674.0
45631,490.0
150442,26.0
193552,36.0
96214,250.0
166034,357.0
141104,30.0
234494,3.0
46503,18.0
138192,9.0
285542,19.0
183468,1.0
221633,11.0
318479,7.0
50345,11.0
324817,48.0
159452,29.0
198116,19.0
36818,36.0
76026,235.0
126651,26.0
309732,210.0
9609,559.0
270068,8.0
29457,14.0
3885,192.0
105055,1.0
327124,621.0
124928,136.0
72845,3155.0
122300,13.0
61699,36.0
32275,86.0
103692,415.0
23933,163.0
266311,38.0
263420,9.0
251484,50.0
135524,25.0
238241,4.0
303877,37.0
183942,21.0
203706,484.0
237622,6.0
240272,3.0
129817,57.0
263283,673.0
329390,23.0
180797,18.0
158145,95.0
164193,28.0
22839,346.0
262288,17.0
190116,9.0
95347,22.0
105225,7.0
176312,63.0
159627,60.0
87493,0.0
265288,8.0
12050,94.0
241726,17.0
325440,85.0
161137,45.0
328407,2.0
122521,141.0
72701,41.0
325523,30.0
316309,30.0
35327,150.0
48193,7.0
134211,26.0
314505,45.0
179069,34.0
42745,5.0
181738,0.0
181759,26.0
322222,11.0
133752,178.0
115850,31.0
34630,258.0
244045,41.0
301635,67.0
30668,34.0
234434,36.0
61861,28.0
62405,172.0
304240,2.0
62460,94.0
232214,3.0
288697,624.0
68686,122.0
211065,3.0
290751,25.0
324454,518.0
186234,18.0
289256,80.0
233266,102.0
48915,25.0
123037,227.0
111645,10.0
123374,0.0
131438,2.0
102462,56.0
65004,7.0
162259,308.0
33781,210.0
165795,8.0
118211,2.0
243029,76.0
15423,4.0
91921,279.0
49453,20.0
174598,17.0
128827,17.0
45258,58.0
133004,41.0
109693,13.0
184157,17.0
118601,16.0
235140,289.0
234197,8.0
247413,385.0
278991,94.0
15536,4.0
245849,809.0
319677,12.0
254374,19.0
185056,64.0
58178,144.0
19092,178.0
169435,227.0
160401,95.0
296517,596.0
254788,434.0
41959,511.0
206224,7636.0
11818,490.0
225200,16.0
79775,141.0
71511,51.0
140444,4.0
2000,40.0
210694,13.0
295676,12.0
46562,27.0
166707,9.0
160387,187.0
322989,7.0
91445,105.0
66103,122.0
144073,99.0
186432,42.0
307371,7.0
127571,20.0
124948,7.0
228353,101.0
276068,116.0
21811,13.0
134100,6.0
120095,9.0
12193,26.0
79430,18.0
129366,270.0
163428,4.0
129675,1780.0
266856,1.0
215184,12.0
225301,5.0
161887,20.0
74500,16.0
207863,12.0
118333,3.0
97422,41.0
322573,7.0
318580,4.0
302126,2.0
145085,8.0
256584,33.0
73248,16.0
90762,1565.0
237798,14.0
237268,18.0
107986,404.0
103016,19.0
102845,32.0
261591,25.0
96399,5.0
246001,283.0
226362,2461.0
34360,5.0
329631,24.0
303598,70.0
132255,22.0
270701,3.0
326933,33.0
93875,11.0
83182,14.0
205870,57.0
171606,0.0
124856,21.0
26108,215.0
241746,36.0
6518,10.0
93440,20.0
67476,17.0
186,17.0
3832,130180.0
312365,11.0
27925,128.0
217386,3.0
84767,30.0
131996,2.0
210352,205.0
32467,7.0
279730,201.0
129543,4.0
173191,15.0
5887,32.0
302966,307.0
148576,749.0
59229,9.0
246824,3.0
34594,21.0
326492,34.0
237899,37.0
315723,63.0
29212,11.0
128347,9.0
74450,7.0
325152,43.0
11345,25.0
137943,106.0
83493,12.0
3314,1967.0
108312,3.0
154136,1.0
198239,5.0
252979,13.0
278647,2.0
139711,29.0
183121,60.0
198325,69.0
276307,21.0
784,2.0
74800,101.0
231325,6.0
93852,16.0
270882,130.0
151430,14.0
168848,1.0
100900,4.0
53582,35.0
27542,82.0
305029,26.0
206309,11133.0
81900,86.0
64618,11.0
48760,235.0
76712,118.0
12663,14.0
107872,0.0
279572,29.0
147560,418.0
81675,3.0
224310,150.0
227913,15.0
218157,143.0
40942,815.0
157944,5.0
144558,47.0
280074,31.0
299169,7.0
185635,22.0
18091,624.0
193526,990.0
284036,14.0
275609,2.0
225079,13.0
51210,494.0
169811,19.0
47981,166.0
280033,27.0
241533,764.0
260560,93.0
69710,22.0
32580,1.0
174678,3.0
115175,7.0
320169,29.0
241461,5.0
150905,120.0
267719,56.0
71224,105.0
327753,5.0
140321,14.0
283774,6.0
306267,3.0
286666,11.0
131597,81.0
52452,60.0
60238,22.0
262839,24.0
146583,114.0
212636,2.0
111442,49.0
107901,73.0
302650,1.0
294247,252.0
25033,304.0
7337,151.0
164517,0.0
274235,8.0
6277,36.0
15815,12.0
200098,5.0
104549,3.0
251394,96.0
288449,6.0
311322,172.0
61689,324.0
58139,50.0
316597,186.0
195891,1.0
310972,11.0
114895,251.0
76271,2.0
283566,1205.0
149254,18.0
89876,84.0
17853,23.0
104969,3.0
273528,154.0
202555,9.0
95925,13.0
242538,6.0
318999,26.0
154923,4.0
280831,15.0
143799,9.0
141037,2.0
177292,26.0
25781,79.0
98123,93.0
110871,7.0
262732,36.0
156814,277.0
235349,22.0
107911,7.0
214890,673.0
14292,74.0
276602,55.0
40752,113.0
291010,106.0
312551,9.0
239318,2.0
253288,2.0
166925,195.0
149060,211.0
294174,17.0
27312,40.0
317798,727.0
58770,27.0
323223,2.0
238317,3.0
20166,1.0
181524,268.0
180879,2.0
311937,6.0
39567,4.0
27435,1.0
259092,54.0
142291,144.0
242831,49.0
14653,31.0
200086,30.0
122561,40.0
112250,4.0
73064,3539.0
271876,74.0
320353,166.0
193193,4.0
301474,35.0
117153,7.0
142522,9.0
239687,40.0
164349,85.0
34653,72.0
223440,95.0
241531,25.0
102267,3.0
70153,43.0
38392,533.0
215142,2.0
133649,201.0
54915,107.0
198551,0.0
233435,0.0
280362,112.0
26763,229.0
53055,12.0
69084,2.0
15057,6.0
154302,1.0
160775,220.0
305673,1.0
34223,18.0
16595,7.0
303520,11.0
22647,69.0
727,564.0
242034,4.0
192520,10.0
49545,191.0
279855,188.0
279033,178.0
95917,513.0
259964,180.0
210745,574.0
246905,95.0
147991,21.0
127946,19.0
110136,21.0
144291,36.0
75884,768.0
25541,10.0
99490,55.0
11056,1402.0
63670,67.0
66500,4.0
61735,34.0
247136,101.0
7956,0.0
193177,18.0
307977,19.0
113750,29.0
177481,275.0
124133,35.0
287491,2.0
168915,1419.0
253452,11.0
222643,2.0
326323,3.0
297084,41.0
18606,395.0
257259,282.0
166347,37.0
41938,0.0
125297,60.0
87848,10.0
